trade_date,stock_code,stock_name,market,main_grey_capital,main_listed_capital,main_capital,retail_capital,turnover,change_pct,zf
2026-04-07,300308,中际旭创,33,2505233757.2946835,720285830.0,3225519587.2946835,-3225519587.2946835,14668397000.0,17.08,2.1450240717536095
2026-04-07,002263,大东南,33,411302868.55434614,37921098.0,449223966.55434614,-449223966.55434614,2487753700.0,16.53,5.364806866952789
2026-04-07,603222,济民健康,17,168836396.0299234,59764539.0,228600935.0299234,-228600935.0299234,1043848915.47,16.17,7.640878701050609
2026-04-07,002560,通达股份,33,372577143.5936317,66283809.0,438860952.5936317,-438860952.5936317,2447117100.0,15.23,4.992076069730593
2026-04-07,603778,国晟科技,17,453646854.4272969,645771233.0,1099418087.4272969,-1099418087.4272969,2995766951.63,15.14,10.006973500697354
2026-04-07,002471,中超控股,33,334076248.9714071,147276597.0,481352845.9714071,-481352845.9714071,2248007200.0,14.86,3.9192399049881246
2026-04-07,600488,津药药业,17,190515276.31058717,-132201997.0,58313279.31058717,-58313279.31058717,1322689090.55,14.4,10.043041606886659
2026-04-07,002580,圣阳股份,33,237160389.3465011,34412698.0,271573087.3465011,-271573087.3465011,1751259000.0,13.54,4.684450227716335
2026-04-07,000592,平潭发展,33,481751953.1635752,21503198.0,503255151.1635752,-503255151.1635752,3856453500.0,12.49,3.253424657534253
2026-04-07,600410,华胜天成,17,321099029.99216306,68322740.0,389421769.99216306,-389421769.99216306,2808266826.74,11.43,1.789264413518898
2026-04-03,000890,法尔胜,33,293017784.84689593,-57935180.0,235082604.84689593,-235082604.84689593,1577444600.0,18.58,0.6918238993710768
2026-04-03,002428,云南锗业,33,971248609.0404558,685388560.0,1656637169.0404558,-1656637169.0404558,5568815100.0,17.44,8.863157894736844
2026-04-03,600602,云赛智联,17,472269084.2619599,813784824.0,1286053908.26196,-1286053908.26196,2916346375.3,16.19,10.013531799729359
2026-04-03,002082,万邦德,33,327034354.25540423,1110703.6999999993,328145057.9554042,-328145057.9554042,2162371000.0,15.12,-1.4186450492183034
2026-04-03,002038,双鹭药业,33,294153981.2473097,-45866774.6,248287206.6473097,-248287206.6473097,1971105000.0,14.92,5.029239766081868
2026-04-03,002788,鹭燕医药,33,242155526.34115934,-2468862.039999999,239686664.30115935,-239686664.30115935,1662044100.0,14.57,3.6971830985915646
2026-04-03,600339,中油工程,17,269393893.0236846,-28867660.799999997,240526232.2236846,-240526232.2236846,1896704103.72,14.2,5.381165919282516
2026-04-03,000938,紫光股份,33,487472752.1885831,753191905.0,1240664657.1885831,-1240664657.1885831,3665293300.0,13.3,5.86776859504133
2026-04-03,603122,合富中国,17,261104439.68511683,-94561833.0,166542606.68511683,-166542606.68511683,2102689359.34,12.42,7.758159443552699
2026-04-03,002309,中利集团,33,611971433.9260256,-915009770.4000001,-303038336.47397447,303038336.47397447,5035580400.0,12.15,1.0040160642570244
2026-04-03,000720,新能泰山,33,190095737.0433256,-135163840.1,54931896.94332561,-54931896.94332561,1680827400.0,11.31,10.0
2026-04-03,002639,雪人集团,33,282287900.01821816,-29929952.0,252357948.01821816,-252357948.01821816,2728775500.0,10.34,2.9106029106029228
2026-04-03,601869,长飞光纤,17,649317882.1798644,-185891830.0,463426052.1798644,-463426052.1798644,6523095990.99,9.95,6.018226112063518
2026-04-03,600594,益佰制药,17,108760435.18699324,-148794320.0,-40033884.81300676,40033884.81300676,1132785120.55,9.6,-2.083333333333326
2026-04-03,600487,亨通光电,17,893663377.3705,1143750530.5,2037413907.8705,-2037413907.8705,9806984503.67,9.11,8.72822625959917
2026-04-03,600105,永鼎股份,17,474453197.5131017,20319890.299999997,494773087.8131017,-494773087.8131017,5260979671.0,9.02,2.2779795311984197
2026-04-03,002491,通鼎互联,33,194991243.0364343,231142859.0,426134102.0364343,-426134102.0364343,2659368200.0,7.33,4.6666666666666705
2026-04-03,002445,中南文化,33,79387729.91186452,60217157.0,139604886.91186452,-139604886.91186452,1083774550.0,7.33,3.1428571428571392
2026-04-03,600488,津药药业,17,45484544.82280037,11654169.0,57138713.82280037,-57138713.82280037,652492185.32,6.97,9.936908517350156
2026-04-03,300342,天银机电,33,178960662.48408502,-146380950.0,32579712.484085023,-32579712.484085023,3584072500.0,4.99,0.8392857142857123
2026-04-02,600488,津药药业,17,23914438.26314159,58954373.0,82868811.26314159,-82868811.26314159,94334742.98,25.35,10.069444444444446
2026-04-02,000720,新能泰山,33,318566163.9709194,614888854.5,933455018.4709194,-933455018.4709194,1370324200.0,23.25,9.979633401222
2026-04-02,601288,农业银行,17,883268269.1774284,450059390.0,1333327659.1774282,-1333327659.1774282,3860679040.1,22.88,3.4379671150971527
2026-04-02,000890,法尔胜,33,345247839.573068,-71375505.0,273872334.573068,-273872334.573068,1533473500.0,22.51,3.921568627450978
2026-04-02,002263,大东南,33,570889810.0067612,443094359.0,1013984169.0067612,-1013984169.0067612,2576541200.0,22.16,10.000000000000014
2026-04-02,603122,合富中国,17,224068301.04371977,262158879.0,486227180.04371977,-486227180.04371977,1276574778.6,17.55,10.00588581518542
2026-04-02,002038,双鹭药业,33,257407878.23538002,95827380.0,353235258.23538005,-353235258.23538005,1509525200.0,17.05,10.038610038610054
2026-04-02,002082,万邦德,33,436393908.091849,-241556689.0,194837219.09184903,-194837219.09184903,2601988600.0,16.77,4.036144578313242
2026-04-02,601869,长飞光纤,17,1047634689.8169436,271221700.0,1318856389.8169436,-1318856389.8169436,6337712569.67,16.53,7.951298701298704
2026-04-02,002560,通达股份,33,424129962.1808388,226547985.2,650677947.3808389,-650677947.3808389,2709401000.0,15.65,10.025273799494535
2026-04-02,603538,美诺华,17,598694635.1776037,133229060.32,731923695.4976037,-731923695.4976037,3905407480.57,15.33,6.358381502890176
2026-04-02,002413,雷科防务,33,405411272.6777642,352486656.0,757897928.6777642,-757897928.6777642,3021552700.0,13.42,3.743315508021392
2026-04-02,605299,舒华体育,17,182073025.9690955,51777209.0,233850234.9690955,-233850234.9690955,1364229330.87,13.35,6.203703703703703
2026-04-02,600759,洲际油气,17,477895687.2237463,298052313.0,775948000.2237463,-775948000.2237463,3729409408.61,12.81,4.991087344028509
2026-04-02,000070,特发信息,33,466137469.5228095,327553840.0,793691309.5228095,-793691309.5228095,3875170100.0,12.03,4.986449864498654
2026-04-02,603778,国晟科技,17,478532971.57532436,-194362100.0,284170871.57532436,-284170871.57532436,4374626454.54,10.94,6.036363636363636
2026-04-02,002309,中利集团,33,359220549.3047308,1167517471.9,1526738021.204731,-1526738021.204731,3568213700.0,10.07,9.933774834437088
2026-04-02,002471,中超控股,33,377877033.4850619,1243356978.0,1621234011.485062,-1621234011.485062,4335369300.0,8.72,6.122448979591827
2026-04-02,600487,亨通光电,17,665177235.6820774,2263356399.9,891512875.6720774,-891512875.6720774,7954717995.76,8.36,2.7521170130869894
2026-04-02,002788,鹭燕医药,33,136092742.77765447,-50118533.0,85974209.77765447,-85974209.77765447,1643370400.0,8.28,2.035928143712574
